exp,cond,n,lam,seed,map,d,runId,durationS,events.dist_avg,events.dist_median,events.n_assign,events.n_block,events.n_fail,events.n_preempt,task.assignwait_avg,task.blocked_avg,task.lat_max,task.lat_median,task.lat_p95,task.n_done,taskReliable,throughput_per_h,vehicle.blocked_s,vehicle.f,vehicle.n_veh,vehicle.observed_s,vehicle.utilization,vehicle.working_s,vehicleReliable
E6,S1,15,8,1,v7,low,223,796,17129.11827956989,15000,93,25,0,13,0.7939214875,15.9802756875,323.958801,84.721972,248.0405396,80,true,361.809,1676.935655,0.20242531986545031,15,9242.04243,0.8963623500698428,8284.218872,true
E6,S1,15,8,2,v7,low,224,812.739,18857.255102040817,17000,98,43,0,18,7.4695232875,46.8297055625,598.814378,135.18583,311.5289550999999,80,true,354.357,2401.898125,0.257473104870589,15,11109.71113,0.8396918658676231,9328.734068,true
E6,S1,15,8,3,v7,low,260,761.038,16577.432989690722,14000,97,28,0,17,7.7760982,15.3483614875,251.110286,101.0752145,211.20543295000002,80,true,378.431,1646.327011,0.18750938795798683,15,10619.156488,0.8268049472593854,8779.97112,true
E6,S1,15,8,4,v7,low,261,872.529,18703.384615384617,17000,91,46,0,11,10.0489200625,71.291882575,669.338907,179.5960255,386.45306549999987,80,true,330.075,3333.053992,0.3293080354558205,15,11410.88019,0.8869943946015614,10121.386766,true
E6,S1,15,8,5,v7,low,262,766.15,18318.284090909092,16000,88,24,0,8,4.235299775,10.1096892875,263.034696,91.876281,167.8385047,80,true,375.906,1260.223598,0.1574767954208367,15,9968.667699,0.8027751490605686,8002.598698,true
E6,S1,15,8,6,v7,low,263,731.83,17658.634146341465,16000,82,16,0,2,1.995443375,7.5782056625,172.548376,87.420139,142.43189145,80,true,393.534,1288.285696,0.16959478048813367,15,10275.271149,0.7392756666805115,7596.257929,true
E6,S1,15,8,7,v7,low,265,679.732,16505.378947368423,14000,95,33,0,15,2.6640156375,18.900852825,312.899018,82.02849950000001,188.79142735,80,true,423.696,1234.656335,0.16504841627704767,15,9312.112571,0.8033161724543763,7480.570628,true
E6,S1,15,8,8,v7,low,267,785.901,16835.285714285714,15000,91,28,0,11,2.010950075,16.3646909625,327.741762,100.7324265,254.31906569999995,80,true,366.458,2459.638665,0.2677915720231293,15,9826.337066,0.9347226130457675,9184.899459,true
E6,S1,15,8,9,v7,low,268,846.926,18741.674157303372,16000,89,30,0,9,11.636290175,24.1430989875,445.865611,90.980898,279.8673449,80,true,340.053,1200.912426,0.14542848424493895,15,10967.696873,0.7529158193028408,8257.752477,true
E6,S1,15,8,10,v7,low,269,667.033,17988.738636363636,17000,88,34,0,8,2.999097425,20.6340922875,313.87429,109.8364515,209.05019319999994,80,true,431.763,1984.624293,0.240445760119797,15,9077.153171,0.9093090547783156,8253.93757,true
